,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Emissions Rolling,Supply Rolling
751,947200,10075608,64,65649,77164,523,821171,768430,25.780534541705737,946198.71,10042119.36
752,946731,10071127,64,65649,77118,518,821171,767974,24.835400906279304,946196.14,10042563.0
753,946287,10066755,63,65649,77103,513,821171,767817,24.03831538559183,946193.44,10043003.08
754,945844,10062454,63,65649,77117,508,821171,767961,23.473180983638315,946190.57,10043440.96
755,945405,10058243,62,65649,77070,503,821171,767506,23.01120265421696,946187.51,10043876.92
756,944988,10054156,62,65649,77040,500,821171,767209,22.70840199066272,946184.43,10044310.4
757,944540,10049877,62,65649,77007,496,821171,766876,22.47360918530473,946181.66,10044746.52
758,944109,10045709,60,65649,77023,492,821171,767029,22.297882048214216,946179.07,10045183.24
759,943699,10041715,60,65649,77007,488,821171,766876,22.306744869493997,946176.84,10045623.28
760,943274,10037591,60,65649,77022,484,821171,767028,22.37291579497764,946084.65,10045105.37
761,942851,10033479,53,65649,77022,431,821171,767028,22.351115417661802,945994.16,10044603.42
762,942418,10029462,53,65649,77022,428,821171,767028,22.197563894025407,945904.24,10044108.44
763,942039,10025616,53,65649,77022,425,821171,767028,22.4526968908094,945815.41,10043622.08
764,941612,10021604,52,65649,77022,422,821171,767028,22.646821440276216,945727.07,10043141.66
765,941206,10017610,52,65649,77022,419,821171,767028,22.792145714941828,945639.52,10042667.27
766,940795,10013665,51,65649,77022,416,821171,767028,22.900998639024742,945552.8,10042200.77
767,940394,10009809,51,65649,77038,413,821171,767191,22.98341423946546,945466.62,10041739.81
768,939982,10005814,51,65649,77022,410,821171,767027,23.046154429599095,945381.03,10041284.57
769,939588,10002026,50,65649,77005,407,821171,766864,23.090928591209366,945296.22,10040836.69
770,939201,9998280,50,65649,76989,404,821171,766703,23.12652977674036,945212.08,10040394.56
771,947818,10090846,50,66299,77757,403,829363,774376,29.176891653993653,945218.77,10040922.48
772,947265,10085469,49,66299,77680,400,829363,773603,27.38266874049524,945224.46,10041441.23
773,946827,10081208,49,66299,77617,397,829363,772980,25.99706444845319,945230.44,10041961.57
774,946383,10076890,49,66299,77634,394,829363,773151,24.980695720645727,945236.15,10042478.09
775,945942,10072530,48,66299,77663,391,829363,773446,24.216890354169934,945241.75,10042994.11
776,945494,10068212,48,66299,77663,388,829363,773446,23.612411683681227,945247.42,10043510.13
777,945047,10063887,47,66299,77663,385,829363,773446,23.33430876276092,945252.85,10044022.71
778,944623,10059800,47,66299,77663,381,829363,773446,22.950437646531824,945258.34,10044535.29
779,944195,10055643,47,66299,77647,377,829363,773290,22.879494901565536,945264.06,10045049.34
780,943767,10051441,45,66299,77616,373,829363,772980,22.659621176174152,945270.12,10045566.08
781,943334,10047324,45,66299,77585,369,829363,772674,22.524127646836497,945186.48,10045125.91
782,942923,10043393,45,66299,77586,366,829363,772674,22.393095735127375,945104.55,10044703.45
783,942510,10039326,44,66299,77601,363,829363,772824,22.242280592554323,945023.43,10044287.19
784,942100,10035304,44,66299,77601,360,829363,772824,22.244210444415742,944943.12,10043877.73
785,941690,10031330,44,66299,77601,357,829363,772824,22.183157833311807,944863.41,10043474.6
786,941277,10027380,44,66299,77601,354,829363,772824,22.387368374983854,944784.52,10043079.23
787,940874,10023467,43,66299,77601,351,829363,772824,22.45719294790456,944706.32,10042691.59
788,940499,10019883,42,66299,77601,348,829363,772824,22.557180425214135,944629.32,10042315.46
