,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Emissions Rolling,Supply Rolling,Clearing Price Rolling
251,973784,10024056,6578,47999,60776,55134,611003,604791,23.998407183821616,977816.72,10020241.76,24.853184537655842
252,973038,10017197,6515,47999,60776,54577,611003,604791,23.167837107398768,977732.69,10020337.23,24.867540407176545
253,972295,10010377,6451,47999,60776,54032,611003,604791,22.55456635513924,977649.25,10020434.74,24.865987788855364
254,971562,10003775,6384,47999,60776,53494,611003,604791,25.20786010003443,977566.48,10020537.95,24.883994865327153
255,970818,9997120,6316,47999,60776,52960,611003,604791,27.59386688849723,977435.91,10020152.84,24.884197170222834
256,974993,10040984,6257,48203,61101,52430,613589,607976,31.77514746763746,977355.94,10020283.97,24.94439807258751
257,974211,10033881,6197,48203,61101,51906,613589,607976,29.016059209692546,977276.44,10020418.04,24.989578446649094
258,973453,10027063,6130,48203,61101,51387,613589,607976,26.93560168547785,977197.65,10020556.75,25.02423169200394
259,972699,10020300,6070,48203,61101,50873,613589,607976,25.39069647941939,977119.58,10020701.54,25.05127748101462
260,971982,10013743,6007,48203,61101,50360,613589,607976,24.22990636259714,977042.15,10020850.16,25.062455753641974
261,971243,10007117,5945,48203,61101,49850,613589,607976,23.360320396947856,976918.28,10020514.91,25.02287354122745
262,970536,10000567,5889,48203,61101,49346,613589,607976,26.24520632043665,976795.95,10020191.4,25.0296220822135
263,969810,9994083,5829,48203,61101,48857,613589,607976,28.879415946610095,976674.32,10019873.49,25.075779225015864
264,973764,10036601,5775,48518,61315,48370,617519,610147,33.07650417164672,976600.54,10020054.91,25.173707325693034
265,972979,10029511,5715,48518,61315,47889,617519,610147,29.98535307654297,976526.86,10020236.59,25.248051036857856
266,972247,10022802,5660,48518,61315,47412,617519,610147,27.787260421442316,976453.74,10020420.45,25.299434410823373
267,971521,10016237,5598,48518,61315,46936,617519,610147,26.08270785610308,976381.32,10020609.51,25.334076382051627
268,970841,10009972,5545,48518,61315,46465,617519,610147,24.754976950168597,976247.62,10020181.4,25.313622795314895
269,970137,10003536,5491,48518,61315,45999,617519,610147,28.506218350620273,976115.69,10019768.51,25.346828912675534
270,969407,9997067,5430,48518,61315,45538,617519,610147,32.030607356348895,975984.99,10019366.74,25.427330884512585
271,973513,10040562,5376,48785,61603,45079,620894,613064,36.18784531387307,975903.7,10019473.76,25.558478644609306
272,972736,10033496,5323,48785,61603,44624,620894,613064,32.330095603662066,975822.95,10019585.2,25.657841931591534
273,972010,10026939,5270,48785,61603,44179,620894,613064,29.449603305455355,975743.17,10019703.87,25.733460055321046
274,971296,10020351,5220,48785,61603,43735,620894,613064,27.29002158637421,975664.42,10019829.39,25.79125447076996
275,970571,10013823,5167,48785,61603,43296,620894,613064,25.675817496467822,975586.36,10019960.05,25.822877624959578
276,969850,10007215,5113,48785,61603,42866,620894,613064,24.460509359744194,975508.97,10020095.71,25.83434622670719
277,969171,10001036,5062,48785,61603,42439,620894,613064,24.53771408820719,975388.44,10019780.93,25.804014847510118
278,968472,9994626,5012,48785,61603,42014,620894,613064,24.494108775354455,975269.28,10019477.53,25.791233024736467
