,Emissions,Supply,Top Fifty Polluters Emissions,Top Fifty Efficient Emissions,Average Polluters Emissions,Top Fifty Polluters Supply,Top Fifty Efficient Supply,Average Polluters Supply,Clearing Price,Emissions Rolling,Supply Rolling,Clearing Price Rolling
934,938109,10023379,11,68987,80477,91,859008,803463,24.328654448975367,939975.71,10025279.62,29.35504200982489
935,937777,10020150,11,68987,80477,90,859008,803463,23.991007730626013,939916.13,10025012.98,29.329421269371238
936,937449,10017000,11,68987,80478,89,859008,803467,23.61856067601829,939857.4,10024754.6,29.30879939384819
937,937113,10013733,10,68987,80461,88,859008,803304,28.108329243679663,939799.23,10024500.78,29.338924869566604
938,936763,10010324,10,68987,80445,87,859008,803143,32.44438889876362,939741.3,10024249.97,29.418735551747723
939,936416,10006951,10,68987,80429,86,859008,802984,36.55842576757645,939683.62,10024001.51,29.545154176253888
940,936036,10003249,10,68987,80413,85,859008,802826,40.456646186889685,939626.2,10023755.09,29.712769913857578
941,935663,9999579,10,68987,80398,84,859008,802670,44.355867196173,939569.01,10023511.01,29.919734175760315
942,940465,10051366,10,69392,80793,83,864001,806618,49.10628522693136,939563.72,10023823.04,30.175990318229744
943,940042,10047263,10,69392,80744,82,864001,806123,42.389737574840744,939558.09,10024130.67,30.36667965733639
944,939658,10043489,10,69392,80712,81,864001,805810,37.46472706871838,939552.08,10024434.46,30.509286983145508
945,939303,10040004,9,69392,80679,80,864001,805482,33.63973592090139,939546.19,10024738.21,30.594239423490635
946,938942,10036457,9,69392,80613,79,864001,804821,30.751169462043563,939540.41,10025042.58,30.63524791939518
947,938559,10032739,9,69392,80610,78,864001,804789,28.596076264190224,939534.75,10025348.84,30.64272267225346
948,938215,10029390,9,69392,80610,77,864001,804794,27.165294280209537,939529.78,10025660.8,30.624925144330255
949,937857,10025896,9,69392,80626,76,864001,804960,26.20945239265376,939474.49,10025436.51,30.54012648626443
950,937501,10022431,9,69392,80626,75,864001,804960,25.44441677253298,939420.24,10025221.59,30.47841338813394
951,937145,10018956,9,69392,80626,74,864001,804960,25.019294194632828,939366.29,10025009.53,30.435282350537655
952,936794,10015559,9,69392,80626,73,864001,804960,24.46331234481632,939312.72,10024802.38,30.403510173398466
953,936470,10012364,9,69392,80626,72,864001,804960,27.137930656253204,939259.86,10024601.27,30.412377355716234
954,936130,10009047,8,69392,80626,71,864001,804960,29.373729765595762,939207.66,10024405.75,30.45391234972863
955,935803,10005764,8,69392,80626,70,864001,804960,31.26990392328507,939156.26,10024216.47,30.518964618735893
956,935436,10002165,8,69392,80626,69,864001,804960,32.87751538726136,939105.01,10024028.55,30.60462907304877
